first_name,middle_name,last_name,email,do_not_call,p2ptext_optout,mobile_phone,home_phone,work_phone,best_phone,join_date,xdate,membership_status,memb_status_letter,membership_type,monthly_dues_status,yearly_dues_status,union_member,union_name,union_local,accomodations,race,student_yes_no,student_school_name,mailing_pref,actionkit_id,dsa_chapter,ydsa_chapter,congressional_district,address1,address2,city,state,zip,country,lat,lon
Melissa,,Miller,carla39@example.com,,,,6419227160,,6419227160,2012-11-02,2021-03-10,Lapsed,L,one-time,canceled_by_processor,,Currently organizing my workplace,,,,Other,"Yes, graduate student",Hope Inst Lrning Acad Elem School,Yes,941293,Maine,,ME_01,27 Arkansas Road,,Limestone,Maine,04750,US,46.933768,-67.912096
Rebecca,,Perry,rogersdakota@example.org,,,(414)651-9111,(373)203-9843,,(414)651-9111,2016-01-23,2019-11-28,Lapsed,L,one-time,lapsed,never,"No, but former union member",,,,Other,,,No,280843,Maine,,ME_02,8 King Row,,Deer Isle,Maine,04627,US,44.224044,-68.677597
Samantha,,Rogers,daniel24@example.org,,TRUE,,,,,1987-07-31,2001-11-11,Lapsed,L,one-time,lapsed,never,"No, not a union member",,,,Asian,,,Membership card only,811412,Maine,,ME_01,13 Main Street,,Canton,Maine,04221,US,44.440644,-70.315933
Cindy,,Jimenez,david60@example.com,,TRUE,,,,,2022-08-15,2024-04-17,Member in Good Standing,M,annual,past_due,canceled_by_processor,"Yes, retired union member",IBEW,2021,,Pacific Islander,"Yes, graduate student",WEISER MIDDLE SCHOOL,Yes,501081,Maine,,ME_02,60 Pound Road,,Durham,Maine,04222,US,43.962303,-70.130368
Lynn,,Gordon,jennifer74@example.net,,,804-752-1342,,,804-752-1342,1992-07-20,2018-07-21,Lapsed,L,income-based,lapsed,,"Yes, current union member",Teamsters,5880,,Asian,,,Membership card only,264015,Maine,,ME_01,247 Sinclair Road,,Sinclair,Maine,04779,US,47.166707,-68.269483
Chelsea,,Waters,tiffany57@example.org,,,,9672175619,,9672175619,1992-10-02,2005-05-30,Lapsed,L,yearly,lapsed,canceled_by_processor,"No, but former union member",,,,Black / of African Descent,"Yes, high school student",Carl Sandburg Jr High School,Yes,361518,Maine,,ME_02,7 Harding Lane,,Sargentville,Maine,04673,US,44.301625,-68.672102
Luke,David.,Cox,john35@example.net,True,,(537)723-2766,,,(537)723-2766,2003-01-04,2013-08-19,Lapsed,L,yearly,canceled_by_failure,,"Yes, retired union member",NEA,5264,,Native American / Indigenous,"Yes, high school student",CLINTON HIGH SCHOOL,No,520156,Maine,,ME_01,16 West Road,,Bradford,Maine,04410,US,45.066731,-68.937836
Neil,,Johns,deannaferguson@example.org,,,7768747609,7954789558,,7768747609,1994-01-20,2023-10-31,Member,M,yearly,canceled_by_failure,canceled_by_failure,"Yes, retired union member",LIUNA,1100,,West Asian / Middle Eastern,No,,Yes,235827,Maine,,ME_01,8 Island Street,,Jonesport,Maine,04649,US,44.533227,-67.598877
William,Glenn,Rose,gwhite@example.com,,TRUE,688-643-3290,,,688-643-3290,1988-12-15,2008-07-09,Lapsed,L,annual,canceled_by_processor,canceled_by_failure,"No, not a union member",,,,Black / of African Descent,"Yes, college student",STRIVE PREP - FEDERAL,No,308428,Maine,,ME_02,43 Oatway Lane,,Winthrop,Maine,04364,US,44.329979,-69.89369
Barbara,,Kim,mgould@example.com,,TRUE,658-857-5953,,,658-857-5953,1994-06-20,2014-05-06,Lapsed,L,annual,lapsed,canceled_by_failure,"Yes, retired union member",USW,2968,,Hispanic / Latinx,"Yes, college student",ALAMO HEIGHTS J H,Membership card only,762591,Maine,,ME_02,211 Green Road Rd,,Waterford,Maine,04267,US,44.220444,-70.776375
Jasmine,,Sosa,urobertson@example.org,,TRUE,3449044485,8374764512,,3449044485,1990-12-15,2004-11-09,Lapsed,L,monthly,canceled_by_admin,canceled_by_processor,"Yes, current union member",NEA,343,,Other,,,Yes,965793,Maine,,ME_01,469 Elmwood Road,,Pownal,Maine,04069,US,43.892256,-70.183518
Eric,,Gomez,jacksonbrandon@example.com,True,,(538)827-9432,(884)257-7876,,(538)827-9432,2013-07-07,2020-01-08,Lapsed,L,annual,past_due,canceled_by_admin,Currently organizing my workplace,,,,Prefer Not to Say,No,,Yes,130327,Maine,,ME_01,142 York St,,York,Maine,03909,US,43.152097,-70.649319
Barbara,Mary.,Ramos,mosschristopher@example.net,,,,,,,1990-11-09,2018-06-12,Lapsed,L,one-time,canceled_by_processor,canceled_by_failure,"No, but former union member",,,,Pacific Islander,"Yes, graduate student",Village Charter,Yes,764655,Maine,,ME_02,20915 Tracie Extension,Apt. 659,Port Joseph,AS,04851,US,,
Heather,,Becker,laurahart@example.com,,,756-475-8217,,,756-475-8217,1991-06-08,2020-05-18,Lapsed,L,yearly,canceled_by_failure,never,"No, not a union member",,,,White / of European Descent,No,,Yes,560482,Maine,,ME_02,42 Upland Lane,,Harpswell,Maine,04079,US,43.807528,-69.934881
Terri,,Gutierrez,qramos@example.org,,,602-754-7697,692-399-7869,,602-754-7697,1986-06-19,1991-12-08,Lapsed,L,yearly,past_due,canceled_by_user,"Yes, current union member",,357,,Prefer Not to Say,"Yes, graduate student",Manheim Twp HS,Membership card only,194720,Maine,,ME_01,9 Pleasant Street,,Oakfield,Maine,04763,US,46.098941,-68.150025
Zachary,George,Green,ann09@example.com,,,,,,,2021-07-04,2023-01-20,Member,M,income-based,canceled_by_admin,,Currently organizing my workplace,,,,Prefer Not to Say,"Yes, college student",BROOKLYN COMMUNITY ARTS AND MEDIA HIGH SCHOOL (BCAM),No,407832,Maine,,ME_02,184 Minot Avenue,,Auburn,Maine,04240,US,44.097851,-70.231166
Katelyn,,Moon,jeffrey91@example.org,,,5698605909,7772338804,,5698605909,1998-12-07,2022-04-02,Lapsed,L,yearly,canceled_by_processor,never,"No, but former union member",,,,Pacific Islander,No,,Yes,869238,Maine,,ME_02,726 Empire Road,,Poland,Maine,04230,US,44.070508,-70.328205
Rodney,,Perez,brendacarter@example.net,,,(933)231-0651,2123018434,,(933)231-0651,1999-09-22,2021-04-23,Lapsed,L,monthly,canceled_by_processor,canceled_by_processor,Currently organizing my workplace,,,,Native American / Indigenous,"Yes, college student",HERMINIA C. RAMIREZ,Yes,911431,Maine,,ME_01,20 Turner Center Road,,Turner,Maine,04282,US,44.256459,-70.256167
Mary,,Good,aosborne@example.org,True,,(893)791-1146,4639234567,,(893)791-1146,2019-09-06,2023-04-13,Member,M,monthly,canceled_by_processor,canceled_by_admin,"Yes, retired union member",UAW,1944,,Jewish,"Yes, college student",Baird Elementary,Membership card only,534404,Maine,,ME_02,47 Marshall Point Road,,Saint George,Maine,04860,US,43.924592,-69.254719
